Aux out [V]	Aux in [V]	PDH out [a.u.]
4.3374E-2	5.8836E-1	-5.7000E+1
4.3727E-2	5.8714E-1	-3.6200E+2
4.3962E-2	5.8690E-1	-1.9400E+2
4.4433E-2	5.8666E-1	-5.1400E+2
4.4668E-2	5.8690E-1	-4.4000E+1
4.5021E-2	5.8836E-1	-3.2000E+1
4.5374E-2	5.9030E-1	-5.7000E+1
4.5610E-2	5.8690E-1	-4.0200E+2
4.5963E-2	5.8569E-1	-1.8100E+2
4.6316E-2	5.8593E-1	2.1200E+2
4.6669E-2	5.8544E-1	5.8000E+2
4.7021E-2	5.8763E-1	6.8000E+1
4.7257E-2	5.8544E-1	-3.1800E+2
4.7610E-2	5.8739E-1	-8.3000E+1
4.7963E-2	5.8617E-1	2.7100E+2
4.8316E-2	5.8569E-1	-7.3200E+2
4.8669E-2	5.8520E-1	-4.1800E+2
4.8904E-2	5.8399E-1	-2.7800E+2
4.9257E-2	5.8496E-1	4.2800E+2
4.9610E-2	5.8447E-1	1.7200E+2
4.9963E-2	5.8423E-1	7.0000E+0
5.0198E-2	5.8399E-1	-4.1000E+1
5.0551E-2	5.8472E-1	1.8200E+2
5.0904E-2	5.8399E-1	4.9400E+2
5.1257E-2	5.8447E-1	1.0000E+1
5.1610E-2	5.8302E-1	-5.2000E+1
5.1845E-2	5.8350E-1	3.5800E+2
5.2198E-2	5.8326E-1	-1.4700E+2
5.2551E-2	5.8496E-1	-1.3200E+2
5.2904E-2	5.8374E-1	9.0000E+0
5.3257E-2	5.8350E-1	-5.3100E+2
5.3493E-2	5.8253E-1	2.4700E+2
5.3846E-2	5.8204E-1	1.5600E+2
5.4198E-2	5.8350E-1	-2.1400E+2
5.4434E-2	5.8229E-1	-2.6700E+2
5.4787E-2	5.8326E-1	-2.2200E+2
5.5140E-2	5.8180E-1	5.4000E+1
5.5493E-2	5.8204E-1	-2.1900E+2
5.5846E-2	5.8131E-1	2.4100E+2
5.6081E-2	5.8302E-1	2.9000E+1
5.6434E-2	5.8083E-1	1.0600E+2
5.6787E-2	5.8034E-1	-5.8500E+2
5.7140E-2	5.8156E-1	-3.0700E+2
5.7493E-2	5.8204E-1	-5.0000E+1
5.7728E-2	5.8034E-1	-4.2800E+2
5.8081E-2	5.8010E-1	-3.0600E+2
5.8434E-2	5.7961E-1	-3.5800E+2
5.8787E-2	5.7937E-1	-6.9400E+2
5.9140E-2	5.7961E-1	-4.8900E+2
5.9375E-2	5.7913E-1	-1.0000E+1
5.9728E-2	5.7913E-1	-3.5000E+2
6.0081E-2	5.7937E-1	-5.2400E+2
6.0434E-2	5.7840E-1	2.9000E+1
6.0670E-2	5.7767E-1	-1.5800E+2
6.1023E-2	5.7767E-1	9.8000E+1
6.1375E-2	5.7743E-1	-2.7600E+2
6.1728E-2	5.7791E-1	-3.9500E+2
6.1964E-2	5.7791E-1	1.3900E+2
6.2317E-2	5.7597E-1	-2.7400E+2
6.2670E-2	5.7718E-1	-2.0200E+2
6.3023E-2	5.7597E-1	-5.7900E+2
6.3376E-2	5.7767E-1	-2.1900E+2
6.3611E-2	5.7524E-1	-2.6500E+2
6.3964E-2	5.7524E-1	-1.3500E+2
6.4317E-2	5.7621E-1	-1.9200E+2
6.4670E-2	5.7573E-1	2.7900E+2
6.5023E-2	5.7548E-1	-1.2100E+2
6.5258E-2	5.7330E-1	-3.5000E+2
6.5611E-2	5.7500E-1	3.4000E+1
6.5964E-2	5.7500E-1	4.3600E+2
6.6317E-2	5.7403E-1	-2.2000E+2
6.6552E-2	5.7330E-1	2.7100E+2
6.6905E-2	5.7354E-1	3.2900E+2
6.7258E-2	5.7378E-1	4.0300E+2
6.7611E-2	5.7403E-1	-2.1400E+2
6.7964E-2	5.7257E-1	7.1700E+2
6.8200E-2	5.7208E-1	-2.3900E+2
6.8552E-2	5.7403E-1	-4.1100E+2
6.8905E-2	5.7111E-1	-4.0000E+0
6.9258E-2	5.7208E-1	-3.1800E+2
6.9611E-2	5.7111E-1	3.3400E+2
6.9847E-2	5.7038E-1	1.5800E+2
7.0200E-2	5.6965E-1	-1.5100E+2
7.0553E-2	5.7087E-1	-1.1650E+3
7.0788E-2	5.7038E-1	3.3900E+2
7.1141E-2	5.6917E-1	1.4000E+1
7.1494E-2	5.6844E-1	6.0100E+2
7.1847E-2	5.6893E-1	-5.6000E+1
7.2200E-2	5.6820E-1	2.9700E+2
7.2435E-2	5.6868E-1	1.1000E+2
7.2788E-2	5.6820E-1	1.4100E+2
7.3141E-2	5.6747E-1	9.7000E+1
7.3494E-2	5.6771E-1	5.5000E+1
7.3847E-2	5.6795E-1	-1.9300E+2
7.4082E-2	5.6747E-1	1.2800E+2
7.4435E-2	5.6698E-1	-2.1900E+2
7.4788E-2	5.6747E-1	1.7600E+2
7.5141E-2	5.6722E-1	1.9300E+2
7.5494E-2	5.6625E-1	-3.9100E+2
7.5730E-2	5.6455E-1	-6.8100E+2
7.6082E-2	5.6455E-1	9.6000E+1
7.6435E-2	5.6431E-1	2.3800E+2
7.6788E-2	5.6480E-1	-4.3000E+2
7.7024E-2	5.6625E-1	-3.8600E+2
7.7377E-2	5.6358E-1	-3.0000E+1
7.7730E-2	5.6504E-1	1.2300E+2
7.8083E-2	5.6285E-1	-2.2200E+2
7.8436E-2	5.6431E-1	-1.2500E+2
7.8671E-2	5.6528E-1	-1.6000E+1
7.9024E-2	5.6431E-1	-2.0900E+2
7.9377E-2	5.6164E-1	4.7000E+1
7.9730E-2	5.6067E-1	-1.0700E+2
8.0083E-2	5.6237E-1	-6.7000E+1
8.0318E-2	5.6164E-1	-4.9200E+2
8.0671E-2	5.6115E-1	-3.7500E+2
8.1024E-2	5.6042E-1	0.0000E+0
8.1259E-2	5.6067E-1	-1.5900E+2
8.1612E-2	5.5848E-1	4.5700E+2
8.1965E-2	5.5994E-1	-2.6900E+2
8.2318E-2	5.5945E-1	-5.0700E+2
8.2671E-2	5.5921E-1	2.5000E+2
8.2907E-2	5.5896E-1	1.0000E+2
8.3259E-2	5.5751E-1	2.3000E+2
8.3612E-2	5.5678E-1	-1.3300E+2
8.3965E-2	5.5702E-1	-3.6100E+2
8.4318E-2	5.5654E-1	-2.0000E+2
8.4554E-2	5.5629E-1	-1.3300E+2
8.4907E-2	5.5581E-1	7.3000E+1
8.5260E-2	5.5532E-1	-2.2500E+2
8.5613E-2	5.5532E-1	-2.4100E+2
