Aux out [V]	Aux in [V]	PDH out [a.u.]
1.0620E-1	4.3142E-1	-2.1900E+2
1.0632E-1	4.2997E-1	-6.1200E+2
1.0632E-1	4.3142E-1	-1.6000E+2
1.0644E-1	4.3094E-1	4.0000E+0
1.0656E-1	4.3191E-1	-8.7900E+2
1.0667E-1	4.3142E-1	-3.0800E+2
1.0679E-1	4.3288E-1	-7.8100E+2
1.0679E-1	4.3264E-1	-1.0950E+3
1.0691E-1	4.3483E-1	-3.0000E+0
1.0703E-1	4.3555E-1	-7.8900E+2
1.0714E-1	4.3628E-1	-6.8300E+2
1.0714E-1	4.3896E-1	-9.7600E+2
1.0726E-1	4.3871E-1	2.7700E+2
1.0738E-1	4.3823E-1	-1.1460E+3
1.0750E-1	4.3726E-1	-5.0000E+2
1.0750E-1	4.3847E-1	-1.8900E+2
1.0761E-1	4.3774E-1	-5.0000E+1
1.0773E-1	4.3871E-1	1.7500E+2
1.0785E-1	4.3774E-1	5.3400E+2
1.0785E-1	4.3701E-1	3.8000E+1
1.0797E-1	4.3774E-1	5.1200E+2
1.0808E-1	4.3701E-1	9.3000E+2
1.0820E-1	4.3798E-1	7.0800E+2
1.0820E-1	4.3774E-1	5.6400E+2
1.0832E-1	4.3628E-1	6.0100E+2
1.0844E-1	4.3653E-1	5.9600E+2
1.0856E-1	4.3531E-1	6.6100E+2
1.0867E-1	4.3337E-1	1.3440E+3
1.0867E-1	4.3385E-1	6.9900E+2
1.0879E-1	4.3142E-1	1.2360E+3
1.0891E-1	4.3118E-1	1.4740E+3
1.0903E-1	4.2972E-1	8.3800E+2
1.0903E-1	4.3045E-1	1.4270E+3
1.0914E-1	4.2705E-1	1.2910E+3
1.0926E-1	4.2754E-1	1.4730E+3
1.0938E-1	4.2754E-1	7.3000E+2
1.0938E-1	4.2608E-1	3.9200E+2
1.0950E-1	4.2462E-1	4.6800E+2
1.0961E-1	4.2389E-1	1.3100E+3
1.0973E-1	4.2438E-1	1.0900E+3
1.0973E-1	4.2268E-1	3.7800E+2
1.0985E-1	4.2317E-1	4.6300E+2
1.0997E-1	4.2098E-1	3.7000E+2
1.1009E-1	4.1976E-1	3.2700E+2
1.1009E-1	4.2025E-1	5.3600E+2
1.1020E-1	4.2001E-1	6.8700E+2
1.1032E-1	4.2025E-1	3.4400E+2
1.1044E-1	4.2171E-1	3.9000E+2
1.1056E-1	4.1831E-1	6.2400E+2
1.1056E-1	4.1782E-1	1.7300E+2
1.1067E-1	4.1928E-1	4.9800E+2
1.1079E-1	4.1855E-1	1.9900E+2
1.1091E-1	4.1661E-1	3.6400E+2
1.1091E-1	4.1661E-1	4.1300E+2
1.1103E-1	4.1515E-1	6.9400E+2
1.1114E-1	4.1588E-1	5.9300E+2
1.1126E-1	4.1393E-1	1.0200E+2
1.1126E-1	4.1442E-1	2.6400E+2
1.1138E-1	4.1466E-1	2.7500E+2
1.1150E-1	4.1393E-1	-4.5300E+2
1.1161E-1	4.1393E-1	6.2200E+2
1.1161E-1	4.1321E-1	3.8000E+1
1.1173E-1	4.1223E-1	5.4400E+2
1.1185E-1	4.1369E-1	1.7000E+2
1.1197E-1	4.1248E-1	4.4900E+2
1.1209E-1	4.1321E-1	-2.9000E+1
1.1209E-1	4.1442E-1	3.0000E+1
1.1220E-1	4.1369E-1	2.3900E+2
1.1232E-1	4.1199E-1	3.8400E+2
1.1232E-1	4.1345E-1	2.5400E+2
1.1244E-1	4.1199E-1	-9.6000E+1
1.1256E-1	4.1126E-1	4.2700E+2
1.1267E-1	4.1102E-1	3.5800E+2
1.1279E-1	4.1223E-1	-5.9400E+2
1.1279E-1	4.1223E-1	1.2800E+2
1.1291E-1	4.0908E-1	2.7600E+2
1.1303E-1	4.0980E-1	-3.2600E+2
1.1314E-1	4.0883E-1	-1.5900E+2
1.1314E-1	4.0980E-1	6.4000E+1
1.1326E-1	4.0859E-1	2.4700E+2
1.1338E-1	4.1102E-1	4.8900E+2
1.1350E-1	4.0980E-1	1.6900E+2
1.1350E-1	4.0883E-1	7.5800E+2
1.1361E-1	4.0908E-1	-2.6000E+2
1.1373E-1	4.1175E-1	5.4400E+2
1.1385E-1	4.0956E-1	3.9300E+2
1.1397E-1	4.0835E-1	3.0600E+2
1.1397E-1	4.0883E-1	-2.1700E+2
1.1409E-1	4.0908E-1	-3.4100E+2
1.1420E-1	4.0835E-1	3.0800E+2
1.1432E-1	4.0932E-1	4.0000E+2
1.1432E-1	4.0640E-1	4.6500E+2
1.1444E-1	4.0567E-1	3.6900E+2
1.1456E-1	4.0835E-1	5.6000E+1
1.1467E-1	4.0762E-1	3.8900E+2
1.1467E-1	4.0713E-1	-3.9400E+2
1.1479E-1	4.0665E-1	-1.4700E+2
1.1491E-1	4.0786E-1	4.4800E+2
1.1503E-1	4.0519E-1	5.0700E+2
1.1503E-1	4.0689E-1	-2.1000E+1
1.1514E-1	4.0519E-1	7.7000E+1
1.1526E-1	4.0519E-1	2.1000E+2
1.1538E-1	4.0470E-1	6.5400E+2
1.1538E-1	4.0470E-1	-9.2000E+1
1.1550E-1	4.0592E-1	1.1700E+2
1.1561E-1	4.0567E-1	8.3300E+2
1.1573E-1	4.0567E-1	3.5000E+1
1.1573E-1	4.0616E-1	7.6000E+1
1.1585E-1	4.0519E-1	6.4900E+2
1.1597E-1	4.0446E-1	1.2600E+2
1.1609E-1	4.0519E-1	5.9400E+2
1.1620E-1	4.0543E-1	-4.6200E+2
1.1620E-1	4.0422E-1	1.2100E+2
1.1632E-1	4.0567E-1	4.4000E+1
1.1644E-1	4.0470E-1	4.5200E+2
1.1656E-1	4.0373E-1	5.5000E+1
1.1656E-1	4.0373E-1	1.9800E+2
1.1667E-1	4.0397E-1	3.0800E+2
1.1679E-1	4.0349E-1	-6.5400E+2
1.1691E-1	4.0422E-1	-4.2600E+2
1.1691E-1	4.0276E-1	2.7600E+2
1.1703E-1	4.0422E-1	-2.5100E+2
1.1714E-1	4.0373E-1	4.0300E+2
1.1726E-1	4.0349E-1	-7.9000E+1
1.1726E-1	4.0252E-1	6.4000E+1
1.1738E-1	4.0349E-1	1.6500E+2
1.1750E-1	4.0154E-1	-1.7700E+2
1.1761E-1	4.0300E-1	-2.0400E+2
1.1761E-1	4.0300E-1	1.9700E+2
1.1773E-1	4.0446E-1	4.3400E+2
1.1785E-1	4.0276E-1	-4.0000E+0
1.1797E-1	4.0422E-1	-2.2700E+2
1.1809E-1	4.0349E-1	7.6000E+2
1.1809E-1	4.0203E-1	6.5100E+2
1.1820E-1	4.0276E-1	8.9000E+1
1.1832E-1	4.0252E-1	-6.0000E+0
1.1844E-1	4.0203E-1	3.2800E+2
1.1844E-1	4.0349E-1	4.8000E+1
1.1856E-1	4.0349E-1	3.2800E+2
1.1867E-1	4.0130E-1	-1.3500E+2
1.1879E-1	4.0203E-1	-1.0300E+2
1.1879E-1	4.0082E-1	-2.4000E+1
1.1891E-1	4.0179E-1	-7.7000E+1
1.1903E-1	4.0227E-1	6.2500E+2
1.1914E-1	4.0276E-1	-3.5900E+2
1.1914E-1	4.0154E-1	-4.8400E+2
1.1926E-1	4.0130E-1	6.0000E+0
1.1938E-1	4.0106E-1	3.6000E+2
1.1950E-1	4.0276E-1	-1.8300E+2
1.1950E-1	4.0203E-1	-3.2200E+2
1.1962E-1	4.0130E-1	1.1400E+2
1.1973E-1	4.0057E-1	2.6600E+2
1.1985E-1	4.0252E-1	3.3800E+2
1.1997E-1	4.0106E-1	-3.1800E+2
1.1997E-1	4.0276E-1	-1.4400E+2
1.2009E-1	4.0057E-1	7.9000E+1
1.2020E-1	4.0057E-1	-9.0000E+0
1.2032E-1	4.0276E-1	3.2800E+2
1.2032E-1	4.0154E-1	7.6200E+2
1.2044E-1	4.0130E-1	6.6400E+2
1.2056E-1	3.9984E-1	2.5200E+2
1.2067E-1	4.0203E-1	2.7700E+2
1.2067E-1	4.0203E-1	-5.5700E+2
1.2079E-1	4.0106E-1	2.4600E+2
1.2091E-1	4.0300E-1	5.2600E+2
1.2103E-1	4.0033E-1	1.0000E+0
1.2103E-1	4.0179E-1	-2.9500E+2
1.2114E-1	4.0349E-1	2.3000E+2
1.2126E-1	4.0106E-1	1.3000E+2
1.2138E-1	4.0203E-1	-3.4700E+2
1.2150E-1	4.0227E-1	-1.9200E+2
1.2150E-1	4.0227E-1	-8.0000E+1
1.2162E-1	4.0324E-1	2.0700E+2
1.2173E-1	4.0179E-1	-5.1900E+2
1.2185E-1	4.0227E-1	-4.6300E+2
1.2185E-1	4.0349E-1	-4.6200E+2
1.2197E-1	4.0252E-1	-3.0400E+2
1.2209E-1	4.0349E-1	-1.5900E+2
1.2220E-1	4.0276E-1	-1.1700E+2
1.2220E-1	4.0349E-1	-3.2200E+2
1.2232E-1	4.0519E-1	-8.0400E+2
