Aux out [V]	Aux in [V]	PDH out [a.u.]
-4.3925E-1	5.3710E-1	-5.9100E+2
-4.3737E-1	5.4172E-1	-5.2900E+2
-4.3549E-1	5.4390E-1	-2.6100E+2
-4.3360E-1	5.4949E-1	-1.7000E+2
-4.3148E-1	5.5143E-1	-7.2000E+2
-4.2960E-1	5.5459E-1	-6.4300E+2
-4.2772E-1	5.5629E-1	-5.9000E+1
-4.2584E-1	5.5945E-1	-2.7300E+2
-4.2395E-1	5.6188E-1	-3.4400E+2
-4.2207E-1	5.6431E-1	-4.3900E+2
-4.1995E-1	5.6528E-1	-8.9000E+1
-4.1807E-1	5.6674E-1	-4.9000E+2
-4.1619E-1	5.6820E-1	-2.5400E+2
-4.1431E-1	5.6965E-1	-1.4800E+2
-4.1242E-1	5.6917E-1	-1.7100E+2
-4.1031E-1	5.6941E-1	-7.8000E+2
-4.0842E-1	5.6990E-1	1.2300E+2
-4.0654E-1	5.6917E-1	-7.5000E+2
-4.0466E-1	5.6674E-1	1.4400E+2
-4.0278E-1	5.6722E-1	-3.6400E+2
-4.0089E-1	5.6577E-1	6.1000E+2
-3.9878E-1	5.6285E-1	2.4700E+2
-3.9689E-1	5.6188E-1	2.2800E+2
-3.9501E-1	5.5921E-1	-5.5000E+1
-3.9313E-1	5.5629E-1	2.2200E+2
-3.9125E-1	5.5338E-1	8.5000E+1
-3.8913E-1	5.4925E-1	-5.5000E+1
-3.8725E-1	5.4536E-1	-4.1100E+2
-3.8536E-1	5.4026E-1	1.9100E+2
-3.8348E-1	5.3710E-1	-2.0100E+2
-3.8160E-1	5.3078E-1	-5.3000E+1
-3.7972E-1	5.2593E-1	2.2800E+2
-3.7760E-1	5.2034E-1	3.1100E+2
-3.7572E-1	5.1354E-1	3.3800E+2
-3.7383E-1	5.0722E-1	3.5000E+2
-3.7195E-1	5.0066E-1	2.9900E+2
-3.7007E-1	4.9094E-1	2.5600E+2
-3.6795E-1	4.8341E-1	3.5000E+2
-3.6607E-1	4.7564E-1	1.0220E+3
-3.6419E-1	4.6835E-1	9.7900E+2
-3.6230E-1	4.5936E-1	1.9500E+2
-3.6042E-1	4.5037E-1	1.0440E+3
