Aux out [V]	Aux in [V]	PDH out [a.u.]
6.5366E-1	5.2180E-1	-3.1700E+2
6.5377E-1	5.2180E-1	-2.5100E+2
6.5377E-1	5.2034E-1	-6.8400E+2
6.5389E-1	5.2010E-1	-5.0000E+1
6.5389E-1	5.2010E-1	-3.3000E+2
6.5401E-1	5.2010E-1	-8.3000E+1
6.5413E-1	5.1961E-1	-4.5500E+2
6.5413E-1	5.2010E-1	-2.5500E+2
6.5424E-1	5.2107E-1	-1.5200E+2
6.5424E-1	5.2058E-1	-3.0000E+0
6.5436E-1	5.2058E-1	-7.2000E+1
6.5436E-1	5.2131E-1	-5.1700E+2
6.5448E-1	5.1912E-1	1.1100E+2
6.5460E-1	5.2082E-1	-1.8900E+2
6.5460E-1	5.2180E-1	5.4600E+2
6.5471E-1	5.1937E-1	2.8000E+1
6.5471E-1	5.1937E-1	-1.3700E+2
6.5483E-1	5.2034E-1	1.5200E+2
6.5483E-1	5.2107E-1	4.6200E+2
6.5495E-1	5.1815E-1	1.6500E+2
6.5507E-1	5.1791E-1	1.1000E+1
6.5507E-1	5.1937E-1	5.0700E+2
6.5518E-1	5.1937E-1	4.3600E+2
6.5518E-1	5.1839E-1	3.5200E+2
6.5530E-1	5.1815E-1	5.0400E+2
6.5530E-1	5.1694E-1	2.5400E+2
6.5542E-1	5.1767E-1	3.6600E+2
6.5554E-1	5.1669E-1	2.4700E+2
6.5554E-1	5.1864E-1	9.9000E+1
6.5566E-1	5.1767E-1	3.7100E+2
6.5566E-1	5.1597E-1	-3.7000E+1
6.5577E-1	5.1791E-1	1.8800E+2
6.5577E-1	5.1475E-1	7.1700E+2
6.5589E-1	5.1597E-1	2.0000E+2
6.5601E-1	5.1621E-1	6.7000E+1
6.5601E-1	5.1597E-1	-1.8900E+2
6.5613E-1	5.1645E-1	-8.4000E+1
6.5613E-1	5.1742E-1	2.9200E+2
6.5624E-1	5.1548E-1	5.5900E+2
6.5624E-1	5.1524E-1	5.5200E+2
6.5636E-1	5.1645E-1	2.1100E+2
6.5648E-1	5.1475E-1	1.7300E+2
6.5648E-1	5.1524E-1	5.7000E+1
6.5660E-1	5.1548E-1	-5.0000E+0
6.5660E-1	5.1572E-1	-4.6800E+2
6.5671E-1	5.1548E-1	2.3300E+2
6.5671E-1	5.1427E-1	-1.5800E+2
6.5683E-1	5.1621E-1	-1.7200E+2
6.5695E-1	5.1524E-1	-2.5900E+2
6.5695E-1	5.1427E-1	2.4000E+1
6.5707E-1	5.1402E-1	1.4200E+2
6.5707E-1	5.1524E-1	-8.0000E+0
6.5718E-1	5.1256E-1	1.7900E+2
6.5718E-1	5.1572E-1	-5.5100E+2
6.5730E-1	5.1572E-1	1.0500E+2
6.5742E-1	5.1499E-1	2.0100E+2
6.5742E-1	5.1354E-1	-2.6100E+2
6.5754E-1	5.1402E-1	-1.2100E+2
6.5754E-1	5.1475E-1	1.8900E+2
6.5766E-1	5.1354E-1	2.6100E+2
6.5766E-1	5.1669E-1	2.2400E+2
6.5777E-1	5.1572E-1	-2.0300E+2
6.5789E-1	5.1475E-1	3.6500E+2
6.5789E-1	5.1329E-1	-4.0000E+1
6.5801E-1	5.1378E-1	-1.6700E+2
6.5801E-1	5.1378E-1	-3.2100E+2
6.5813E-1	5.1402E-1	5.2400E+2
6.5824E-1	5.1572E-1	4.1900E+2
6.5824E-1	5.1572E-1	-1.7100E+2
6.5836E-1	5.1427E-1	-3.4900E+2
6.5836E-1	5.1572E-1	-1.2800E+2
6.5848E-1	5.1499E-1	-5.9800E+2
6.5848E-1	5.1475E-1	3.5600E+2
6.5860E-1	5.1548E-1	-5.1200E+2
6.5860E-1	5.1475E-1	-8.6000E+1
6.5871E-1	5.1499E-1	3.5000E+1
6.5883E-1	5.1548E-1	-7.8000E+1
6.5883E-1	5.1597E-1	9.5000E+1
6.5895E-1	5.1378E-1	-3.7600E+2
6.5895E-1	5.1572E-1	2.5200E+2
6.5907E-1	5.1621E-1	-1.1080E+3
6.5907E-1	5.1572E-1	5.7000E+1
6.5918E-1	5.1548E-1	-4.2600E+2
6.5930E-1	5.1427E-1	-8.8400E+2
6.5930E-1	5.1524E-1	-3.3700E+2
6.5942E-1	5.1548E-1	-2.1000E+2
6.5942E-1	5.1597E-1	-6.7600E+2
6.5954E-1	5.1524E-1	-7.4300E+2
6.5966E-1	5.1645E-1	1.3000E+2
6.5966E-1	5.1475E-1	-7.8100E+2
6.5977E-1	5.1694E-1	2.1400E+2
6.5977E-1	5.1524E-1	-4.3900E+2
6.5989E-1	5.1475E-1	-2.2500E+2
6.5989E-1	5.1597E-1	-3.6700E+2
6.6001E-1	5.1694E-1	3.0000E+1
6.6013E-1	5.1621E-1	-2.7600E+2
6.6013E-1	5.1742E-1	-2.7700E+2
6.6024E-1	5.1499E-1	-3.6700E+2
6.6024E-1	5.1669E-1	-4.0700E+2
6.6036E-1	5.1694E-1	-3.8500E+2
6.6036E-1	5.1621E-1	-3.9000E+1
6.6048E-1	5.1572E-1	-5.2400E+2
6.6048E-1	5.1645E-1	-2.0700E+2
6.6060E-1	5.1742E-1	-7.8200E+2
6.6071E-1	5.1742E-1	-8.8900E+2
6.6071E-1	5.1815E-1	-3.6500E+2
6.6083E-1	5.1597E-1	-6.7200E+2
6.6083E-1	5.1839E-1	-3.6900E+2
6.6095E-1	5.1767E-1	-6.9600E+2
6.6095E-1	5.1937E-1	-1.0900E+2
6.6107E-1	5.1961E-1	-7.8900E+2
6.6119E-1	5.1937E-1	-4.5000E+2
6.6119E-1	5.1718E-1	-4.6500E+2
6.6130E-1	5.1742E-1	-9.8800E+2
6.6130E-1	5.1718E-1	-7.1100E+2
6.6142E-1	5.1937E-1	-8.2900E+2
6.6154E-1	5.1864E-1	-7.7300E+2
