Aux out [V]	Aux in [V]	PDH out [a.u.]
-3.3301E-1	4.0786E-1	8.3500E+2
-3.3265E-1	4.0519E-1	1.2980E+3
-3.3242E-1	4.0373E-1	1.1410E+3
-3.3207E-1	4.0033E-1	1.2670E+3
-3.3183E-1	4.0130E-1	2.8400E+2
-3.3148E-1	4.0009E-1	6.5500E+2
-3.3124E-1	3.9814E-1	-2.0000E+1
-3.3089E-1	3.9620E-1	1.1060E+3
-3.3065E-1	3.9353E-1	9.5100E+2
-3.3042E-1	3.9183E-1	7.6700E+2
-3.3007E-1	3.9353E-1	7.9300E+2
-3.2983E-1	3.9158E-1	9.3900E+2
-3.2948E-1	3.8988E-1	1.3190E+3
-3.2924E-1	3.9086E-1	9.1300E+2
-3.2889E-1	3.8624E-1	2.3800E+2
-3.2865E-1	3.8405E-1	7.1100E+2
-3.2842E-1	3.8162E-1	1.0150E+3
-3.2807E-1	3.8260E-1	5.2100E+2
-3.2783E-1	3.8235E-1	4.4600E+2
-3.2748E-1	3.8041E-1	6.5900E+2
-3.2724E-1	3.7725E-1	8.4900E+2
-3.2689E-1	3.7628E-1	4.7700E+2
-3.2665E-1	3.7506E-1	8.4300E+2
-3.2642E-1	3.7434E-1	8.0500E+2
-3.2607E-1	3.7288E-1	2.9500E+2
-3.2583E-1	3.7093E-1	8.0600E+2
-3.2548E-1	3.6899E-1	6.5300E+2
-3.2524E-1	3.6705E-1	1.1880E+3
-3.2489E-1	3.6510E-1	5.7900E+2
-3.2465E-1	3.6535E-1	1.1680E+3
-3.2430E-1	3.6559E-1	1.1650E+3
-3.2407E-1	3.6219E-1	9.5000E+2
-3.2383E-1	3.6219E-1	7.5700E+2
-3.2348E-1	3.5830E-1	6.5100E+2
-3.2312E-1	3.5636E-1	9.0000E+1
-3.2289E-1	3.5587E-1	8.6600E+2
-3.2265E-1	3.5466E-1	6.1500E+2
-3.2230E-1	3.5344E-1	2.0900E+2
-3.2206E-1	3.5296E-1	7.7600E+2
-3.2183E-1	3.4980E-1	9.3600E+2
-3.2148E-1	3.4956E-1	1.1500E+3
-3.2112E-1	3.4786E-1	7.3600E+2
-3.2089E-1	3.4640E-1	7.4900E+2
-3.2065E-1	3.4640E-1	6.1300E+2
-3.2030E-1	3.4300E-1	1.0680E+3
-3.2006E-1	3.4178E-1	7.4400E+2
-3.1971E-1	3.4130E-1	6.7100E+2
-3.1948E-1	3.3765E-1	6.5000E+2
-3.1912E-1	3.3717E-1	1.1630E+3
-3.1889E-1	3.3571E-1	8.8800E+2
-3.1865E-1	3.3425E-1	1.2150E+3
-3.1830E-1	3.3449E-1	8.5700E+2
-3.1806E-1	3.3231E-1	5.4400E+2
-3.1771E-1	3.3012E-1	1.0130E+3
-3.1748E-1	3.2891E-1	4.3100E+2
-3.1712E-1	3.2721E-1	7.8900E+2
-3.1689E-1	3.2696E-1	2.5400E+2
-3.1654E-1	3.2502E-1	6.1700E+2
-3.1630E-1	3.2405E-1	9.0200E+2
-3.1606E-1	3.2211E-1	1.3500E+3
